Ejercicio,Código Entidad,Entidad,Código Departamento,Departamento,Código Clase,Clase,Código Sección,Sección,Código Grupo,Grupo,Código Recurso,Recurso,Asignado,Modificado,Vigente,Devengado,Percibido
2017,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,0.00,136837433.1,136837433.1,0.00,0.00
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,"14,625,000.00",0,14625000,"7,690,406.80","7,690,406.80"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,"149,900.00",0,149900,"76,645.50","76,645.50"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,"19,700.00",0,19700,"6,625.00","6,625.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10283,SOBRE ESTABLECIMIENTOS INDUSTRIALES,"10,200.00",0,10200,"8,985.00","8,985.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTACULOS,"26,800.00",0,26800,"22,832.00","22,832.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10287,SOBRE PRODUCTOS PRIMARIOS PECUARIOS,200.00,0,200,6.00,6.00
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,"592,900.00",0,592900,"480,300.00","480,300.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,"9,000,000.00",0,9000000,"4,277,206.14","4,277,206.14"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,"4,000.00",0,4000,"4,250.00","4,250.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,"500,600.00",0,500600,"331,106.62","331,106.62"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,"950,000.00",0,950000,"270,009.85","270,009.85"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,"650,000.00",0,650000,"333,725.11","333,725.11"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,"2,338,600.00",0,2338600,"407,565.09","407,565.09"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14110,VENTA DE INSUMOS AGRICOLAS,14110,VENTA DE INSUMOS AGRICOLAS,800.00,0,800,"4,008.00","4,008.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,"9,500.00",0,9500,"1,382.40","1,382.40"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14190,VENTA DE OTROS BIENES,14190,VENTA DE OTROS BIENES,"50,000.00",0,50000,"34,487.00","34,487.00"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,"4,321,100.00",0,4321100,"1,842,112.11","1,842,112.11"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPOSITOS INTERNOS,"250,000.00",0,250000,"382,495.57","382,495.57"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,"5,022,932.50",0,5022932.5,"2,547,428.74","2,547,428.74"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,16220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,"61,400.00",0,61400,0.00,0.00
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,"25,077,667.50",0,25077667.5,"12,932,566.27","12,932,566.27"
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,0.00,12377712.12,12377712.12,0.00,0.00
2017,12100103,MUNICIPALIDAD DE SAN JOSE PINULA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,0.00,28398823.78,28398823.78,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,"48,500.00",0,48500,"24,521.92","24,521.92"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10224,REGALIAS,0.00,0,0,"5,619.77","5,619.77"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,"9,350.00",0,9350,505.00,505.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,"1,847,050.00",0,1847050,"877,330.00","877,330.00"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10283,SOBRE ESTABLECIMIENTOS INDUSTRIALES,500.00,0,500,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTACULOS,"6,600.00",0,6600,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,"75,500.00",0,75500,"36,106.00","36,106.00"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,"1,501,000.00",0,1501000,"344,300.84","344,300.84"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,"7,000.00",0,7000,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,"126,000.00",0,126000,"63,250.90","63,250.90"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,"30,000.00",0,30000,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,"17,000.00",0,17000,"14,638.00","14,638.00"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,500.00,0,500,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14190,VENTA DE OTROS BIENES,14190,VENTA DE OTROS BIENES,"1,000.00",0,1000,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,"341,500.00",0,341500,"179,000.00","179,000.00"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPOSITOS INTERNOS,"500,000.00",0,500000,"553,089.35","553,089.35"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15300,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,"60,000.00",0,60000,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,"10,548,894.00",790417.53,11339311.53,"4,765,631.67","4,765,631.67"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,"53,123,813.00",3987840.81,57111653.81,"24,193,746.81","24,193,746.81"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,17220,DE ENTIDADES DESCENT. Y AUTONOMAS NO FINAN.,0.00,7220561.66,7220561.66,"2,519,231.52","2,519,231.52"
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,0.00,36067773.23,36067773.23,0.00,0.00
2017,12100104,MUNICIPALIDAD DE SAN JOSE DEL GOLFO,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23400,DISM. DE ACT. DIFERIDOS Y ANTICIPOS A CONTRATISTAS,23440,DISM. DE ANTICIPOS A CONTRAT. Y PROV. A LGO. PL.,23440,DISM. DE ANTICIPOS A CONTRAT. Y PROV. A LGO. PL.,0.00,2263527.45,2263527.45,0.00,0.00
